cliente;juego;reseña
zahir_banegs;Resident Evil 4 Remake;Fue  la primera vez que compro de esta forma, si desconfie una banda cuando lo compre, pero despues de eso salió todo bien, muy recomendables y de confianza, espero que sigan así
prime_201207;GTA V;Una maravilla, rapido y confiable
robledothiago022;Minecraft;Una maravilla en segundos!, rapido y muy confiable
santi_torres44;NFS Hot Porsuit;10/10 recomendables👌🏻, de confianza
mialunaa__;FC 25;100% recomendable🙌
ceballosursic;FC 24;100% recomendabless
jeree.palavesinoo;GTA V + FC 24;100% recomendables 👌🏻 , muy confiables 🙌🏻❤️!!!
walter_bd;Kimetsu No Yaiba;Muy recomendable y buena atención al cliente
huarpes23;NFS Payback;Primera vez que compro en esta tienda. 100% recomendable, muy confiable
saldivar.carlito;Dakar 18;Primera vez que le compro lo recomiendo 100% garantizado